"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"83",247,"sample-253","50","NL.50.3","Facility 3",2023,"Winter","During","Warehouse","Floor Object","No","Yes","Continuous","Wet","three",2160,0,0,3.33445375115093,0,0,TRUE,"Medium"
"93",286,"sample-292","12","WS.12.4","Facility 1",2023,"Spring","During","Raw","Fan/Vent","No","Yes","Grille","Dry","three",6040,1600,400,3.78103693862113,2.60205999132796,3.20411998265592,TRUE,"Medium"
"46",126,"sample-128","E6","B.E6.2","Facility 2",2022,"Fall","During","Warehouse","Non-FPE Structure","No","Yes","Continuous","Damp","three",4000,750,0,3.60205999132796,0,2.8750612633917,TRUE,"Medium"
"104",322,"sample-328","26","WS.26.3","Facility 1",2023,"Winter","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",46400,1200,0,4.66651798055488,0,3.07918124604762,TRUE,"Medium"
"91",279,"sample-285","10","WS.10.2","Facility 1",2022,"Fall","During","Raw","Hose","No","Yes","Continuous","Damp","two",13500,0,0,4.13033376849501,0,0,TRUE,"Medium"
"120",378,"sample-384","48","WS.48.2","Facility 1",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Dry","three",5500,600,50,3.74036268949424,1.69897000433602,2.77815125038364,TRUE,"Medium"
"38",106,"sample-108","E2","B.E2.3","Facility 2",2023,"Winter","During","Filling","Forklift/Pallet Jack","No","Yes","Continuous","Wet","three",2320,12800,0,3.3654879848909,0,4.10720996964787,TRUE,"Medium"
"1",1,"sample-1","1","B.01.2","Facility 2",2022,"Fall","During","Raw","Drain","No","Yes","Perforated","Wet","three",67000,55400,6100,4.82607480270083,3.78532983501077,4.74350976472843,TRUE,"Medium"
"72",209,"sample-215","38","NL.38.3","Facility 3",2023,"Winter","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",1080,0,0,3.03342375548695,0,0,TRUE,"Medium"
"60",175,"sample-181","22","NL.22.3","Facility 3",2023,"Winter","During","Filling","Drain","No","Yes","Perforated","Wet","three",13600,0,14400,4.13353890837022,4.15836249209525,0,TRUE,"Medium"
"19",60,"sample-60","31","B.31.2","Facility 2",2022,"Fall","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",5500,4400,2250,3.74036268949424,3.35218251811136,3.64345267648619,TRUE,"Medium"
"50",137,"sample-139","E8","B.E8.3","Facility 2",2023,"Winter","During","Office/Hallway","Floor Object","No","Yes","Spiked","Dry","four",6200,0,13200,3.79239168949825,4.12057393120585,0,TRUE,"Medium"
"94",288,"sample-294","13","WS.13.2","Facility 1",2022,"Fall","During","Raw","FPE Structure","No","None","Continuous","Dry","two",51000,0,450,4.70757017609794,2.65321251377534,0,TRUE,"Medium"
"87",255,"sample-261","6","NL.06.4","Facility 3",2023,"Spring","During","Warehouse","Non-FPE Structure","Yes","Yes","Continuous","Dry","three",2000,400,0,3.30102999566398,0,2.60205999132796,TRUE,"Medium"
"4",4,"sample-4","10","B.10.2","Facility 2",2022,"Fall","During","Raw","Cleaning Tools","No","Yes","Continuous","Dry","three",1150,0,205,3.06069784035361,2.31175386105575,0,TRUE,"Medium"
"23",64,"sample-64","32","B.32.4","Facility 2",2023,"Spring","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",4600,9200,0,3.66275783168157,0,3.96378782734556,TRUE,"Medium"
"77",224,"sample-230","42","NL.42.3","Facility 3",2023,"Winter","During","Filling","Hose","No","Yes","Continuous","Wet","two",48600,6400,24000,4.68663626926229,4.38021124171161,3.80617997398389,TRUE,"Medium"
"102",315,"sample-321","24","WS.24.4","Facility 1",2023,"Spring","During","Post-Pasteurization ","Floor Object","No","Yes","Grid","Dry","three",8120,0,2400,3.90955602924118,3.38021124171161,0,TRUE,"Medium"
"64",182,"sample-188","26","NL.26.2","Facility 3",2022,"Fall","During","Filling","Drain","No","Yes","Perforated","Wet","three",11500,1100,3300,4.06069784035361,3.51851393987789,3.04139268515822,TRUE,"Medium"
"75",216,"sample-222","40","NL.40.2","Facility 3",2022,"Fall","During","Filling","Drain","No","Yes","Continuous","Wet","three",15000,0,5400,4.17609125905568,3.73239375982297,0,TRUE,"Medium"
"5",9,"sample-9","12","B.12.3","Facility 2",2023,"Winter","During","Raw","Door","No","Yes","Continuous","Wet","three",2120,0,16000,3.32633586092875,4.20411998265593,0,TRUE,"Medium"
"11",32,"sample-32","20","B.20.4","Facility 2",2023,"Spring","During","Filling","Non-FPE Structure","No","Yes","Continuous","Dry","three",10800,0,0,4.03342375548695,0,0,TRUE,"Medium"
"146",473,"sample-484","7","NL.07.1","Facility 3",2022,"Summer","During","Warehouse","Door","No","Yes","Continuous","Dry","three",15000,0,0,4.17609125905568,0,0,TRUE,"Medium"
