sample.id	Original.ID	Location.Sample.date	Facility	Year	Season	Room	Object	Risk	sample	Density	Fill_bins	Fill	APC_log
sample-1	1	B.01.2	Facility 2	2022	Fall	Raw	Drain	three	sample-1	Medium	Medium	Fill	4.826074803
sample-2	1	B.01.4	Facility 2	2023	Spring	Raw	Drain	three	sample-2	Medium	Medium	Fill	4.209515015
sample-3	1	B.01.3	Facility 2	2023	Winter	Raw	Drain	three	sample-3	Medium	Medium	Fill	4.679427897
sample-150	1	NL.01.2	Facility 3	2022	Fall	Raw	Floor Object	three	sample-150	High	High	Fill	5.146128036
sample-151	1	NL.01.4	Facility 3	2023	Spring	Raw	Floor Object	three	sample-151	Low	Low	Fill	2.681241237
sample-152	1	NL.01.3	Facility 3	2023	Winter	Raw	Floor Object	three	sample-152	Medium	Medium	Fill	3.698970004
sample-457	1	NL.01.1	Facility 3	2022	Summer	Raw	Floor Object	three	sample-457	Low	Low	Fill	2.77815125
sample-4	10	B.10.2	Facility 2	2022	Fall	Raw	Cleaning Tools	three	sample-4	Medium	Medium	Fill	3.06069784
sample-5	10	B.10.3	Facility 2	2023	Winter	Raw	Cleaning Tools	three	sample-5	Low	Low	Fill	0
sample-153	10	NL.10.2	Facility 3	2022	Fall	Post-Pasteurization 	Wall/Ceiling	three	sample-153	High	High	Fill	5.977723605
sample-154	10	NL.10.4	Facility 3	2023	Spring	Post-Pasteurization 	Wall/Ceiling	three	sample-154	High	High	Fill	5.380211242
sample-155	10	NL.10.3	Facility 3	2023	Winter	Post-Pasteurization 	Wall/Ceiling	three	sample-155	High	High	Fill	5.488550717
sample-285	10	WS.10.2	Facility 1	2022	Fall	Raw	Hose	two	sample-285	Medium	Medium	Fill	4.130333768
sample-286	10	WS.10.4	Facility 1	2023	Spring	Raw	Hose	two	sample-286	High	High	Fill	9.093421685
sample-287	10	WS.10.3	Facility 1	2023	Winter	Raw	Hose	two	sample-287	High	High	Fill	5.326335861
sample-458	10	NL.10.1	Facility 3	2022	Summer	Post-Pasteurization 	Wall/Ceiling	three	sample-458	High	High	Fill	7.146128036
sample-423	10A	B.10A.1	Facility 2	2022	Summer	Raw	Cleaning Tools	three	sample-423	Low	Low	Fill	0
sample-424	10B	B.10B.1	Facility 2	2022	Summer	Raw	Cleaning Tools	three	sample-424	Low	Low	Fill	0
sample-6	11	B.11.2	Facility 2	2022	Fall	Raw	Cleaning Tools	two	sample-6	Low	Low	Fill	1.301029996
sample-7	11	B.11.4	Facility 2	2023	Spring	Raw	Cleaning Tools	two	sample-7	Low	Low	Fill	2.982271233
sample-8	11	B.11.3	Facility 2	2023	Winter	Raw	Cleaning Tools	two	sample-8	Low	Low	Fill	2.301029996
sample-156	11	NL.11.2	Facility 3	2022	Fall	Post-Pasteurization 	Cart/Rolling Bins	three	sample-156	Medium	Medium	Fill	4.021189299
sample-157	11	NL.11.4	Facility 3	2023	Spring	Post-Pasteurization 	Cart/Rolling Bins	three	sample-157	High	High	Fill	5.301029996
sample-158	11	NL.11.3	Facility 3	2023	Winter	Post-Pasteurization 	Cart/Rolling Bins	three	sample-158	High	High	Fill	8.354108439
sample-288	11	WS.11.2	Facility 1	2022	Fall	Raw	Non-FPE Structure	three	sample-288	High	High	Fill	7.459392488
sample-289	11	WS.11.4	Facility 1	2023	Spring	Raw	Non-FPE Structure	three	sample-289	High	High	Fill	6.447158031
sample-290	11	WS.11.3	Facility 1	2023	Winter	Raw	Non-FPE Structure	three	sample-290	High	High	Fill	7.905256049
sample-486	11	WS.11.1	Facility 1	2022	Summer	Raw	Non-FPE Structure	three	sample-486	High	High	Fill	7.089905111
sample-425	11A	B.11A.1	Facility 2	2022	Summer	Raw	Cleaning Tools	two	sample-425	Low	Low	Fill	0
sample-9	12	B.12.3	Facility 2	2023	Winter	Raw	Door	three	sample-9	Medium	Medium	Fill	3.326335861
sample-159	12	NL.12.2	Facility 3	2022	Fall	Post-Pasteurization 	Drain	three	sample-159	High	High	Fill	5.579783597
sample-160	12	NL.12.4	Facility 3	2023	Spring	Post-Pasteurization 	Drain	three	sample-160	High	High	Fill	6.612783857
sample-161	12	NL.12.3	Facility 3	2023	Winter	Post-Pasteurization 	Drain	three	sample-161	High	High	Fill	8.941511433
sample-291	12	WS.12.2	Facility 1	2022	Fall	Raw	Fan/Vent	two	sample-291	Medium	Medium	Fill	4.33243846
