High_10_ASV_0.01_ID,High_10_ASV_0.01_abund,High_30_ASV_0.01_ID,High_30_ASV_0.01_abund,High_50_ASV_0.01_ID,High_50_ASV_0.01_abund,High_10_OTU_0.01_ID,High_10_OTU_0.01_abund,High_30_OTU_0.01_ID,High_30_OTU_0.01_abund,High_50_OTU_0.01_ID,High_50_OTU_0.01_abund,Medium_10_ASV_0.01_ID,Medium_10_ASV_0.01_abund,Medium_30_ASV_0.01_ID,Medium_163_ASV_0.01_abund,Medium_50_ASV_0.01_ID,Medium_50_ASV_0.01_abund,Medium_10_OTU_0.01_ID,Medium_10_OTU_0.01_abund,Medium_30_OTU_0.01_ID,Medium_30_OTU_0.01_abund,Medium_50_OTU_0.01_ID,Medium_50_OTU_0.01_abund,Low_10_ASV_0.01_ID,Low_10_ASV_0.01_abund,Low_30_ASV_0.01_ID,Low_30_ASV_0.01_abund,Low_50_ASV_0.01_ID,Low_50_ASV_0.01_abund,Low_10_OTU_0.01_ID,Low_10_OTU_0.01_abund,Low_30_OTU_0.01_ID,Low_30_OTU_0.01_abund,Low_50_OTU_0.01_ID,Low_50_OTU_0.01_abund
 g__Halomonas,0.009933, g__Halomonas,0.009943333, g__Halomonas,0.0099546, g__Halomonas,0.009869, g__Halomonas,0.009931333, g__Halomonas,0.0099508, g__Kocuria,0.009809, g__Kocuria,0.009912333, g__Kocuria,0.0098942, g__Erwinia,0.009951, g__Erwinia,0.009952667, g__Erwinia,0.0099542, g__Kocuria,0.008326, g__Kocuria,0.008303333, g__Kocuria,0.0083332, g__Carnobacterium,0.008709, g__Carnobacterium,0.008727, g__Carnobacterium,0.0087122
 g__Micrococcus,0.008569, g__Micrococcus,0.008652333, g__Micrococcus,0.0085936, g__Micrococcus,0.008389, g__Micrococcus,0.008498, g__Micrococcus,0.008422, g__Nesterenkonia,0.009727, g__Nesterenkonia,0.009724, g__Nesterenkonia,0.0097392, g__Kocuria,0.009842, g__Kocuria,0.009853, g__Methylobacterium,0.0097416,k__Bacteria__c___o___f___g__,0.00819,k__Bacteria__c___o___f___g__,0.008193,k__Bacteria__c___o___f___g__,0.0081892, g__Kocuria,0.008047, g__Kocuria,0.008140333, g__Kocuria,0.0081034
 g__Nesterenkonia,0.007779,k__Bacteria_ Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__,0.007899,k__Bacteria_ Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__,0.007868, g__Nesterenkonia,0.007769, g__Nesterenkonia,0.007728667,k__Bacteria_ Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__,0.0077532, g__Erwinia,0.00923, g__Micrococcus,0.009200333, g__Micrococcus,0.0092276, g__Nesterenkonia,0.009657, g__Nesterenkonia,0.009700333, g__Nesterenkonia,0.0094032, g__Rhodococcus,0.007492, g__Rhodococcus,0.007545667, g__Rhodococcus,0.00758,k__Bacteria__c___o___f___g__,0.008042,k__Bacteria__c___o___f___g__,0.008035333,k__Bacteria__c___o___f___g__,0.0080424
k__Bacteria_ Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__,0.007776, g__Nesterenkonia,0.007762, g__Nesterenkonia,0.0077098,k__Bacteria_ Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__,0.007629,k__Bacteria_ Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Methylobacteriaceae_ g__,0.007723667, g__Nesterenkonia,0.0077444, g__Micrococcus,0.009196, g__Erwinia,0.009194, g__Erwinia,0.009193, g__Micrococcus,0.009092, g__Micrococcus,0.009123667, g__Micrococcus,0.0091942, g__Methylobacterium,0.006988, g__Methylobacterium,0.006937333, g__Methylobacterium,0.0070102, g__Rhodococcus,0.007519, g__Rhodococcus,0.007512, g__Rhodococcus,0.0075164
 g__Enhydrobacter,0.007149, g__Enhydrobacter,0.007260667, g__Enhydrobacter,0.0072472, g__Enhydrobacter,0.007306, g__Enhydrobacter,0.007178333, g__Enhydrobacter,0.007298, g__Paracoccus,0.007694, g__Paracoccus,0.007781, g__Paracoccus,0.0077104, g__Paracoccus,0.007844, g__Paracoccus,0.007768333, g__Staphylococcus,0.0070074, g__Marinilactibacillus,0.006779, g__Marinilactibacillus,0.006787333, g__Marinilactibacillus,0.0067566, g__Paracoccus,0.007061, g__Paracoccus,0.007098, g__Paracoccus,0.0071248
 g__Serratia,0.005872, g__Serratia,0.005846, g__Serratia,0.0058984, g__Serratia,0.005772, g__Serratia,0.005834667, g__Serratia,0.0058524, g__Sphingomonas,0.00734, g__Sphingomonas,0.007317667, g__Sphingomonas,0.0072852, g__Sphingomonas,0.007182, g__Sphingomonas,0.007198, g__Kocuria,0.0069366, g__Paracoccus,0.006722, g__Paracoccus,0.006757333, g__Paracoccus,0.0067524, g__Methylobacterium,0.006818, g__Methylobacterium,0.006878667, g__Methylobacterium,0.006891
 g__Trichococcus,0.005611, g__Trichococcus,0.005524, g__Trichococcus,0.0054996, g__Aerococcus,0.005487, g__Aerococcus,0.005596667, g__Aerococcus,0.0056292, g__Methylobacterium,0.00602, g__Methylobacterium,0.006147, g__Methylobacterium,0.0061106, g__Methylobacterium,0.005937, g__Methylobacterium,0.005899667, g__Paracoccus,0.0068412, g__Carnobacterium,0.005072, g__Carnobacterium,0.005144, g__Carnobacterium,0.0051146, g__Marinilactibacillus,0.006693, g__Staphylococcus,0.006689333, g__Staphylococcus,0.0066988
 g__Aerococcus,0.005425, g__Aerococcus,0.005431, g__Aerococcus,0.0053878, g__Trichococcus,0.005483, g__Staphylococcus,0.005460667, g__Trichococcus,0.0054676, g__Stenotrophomonas,0.005685, g__Stenotrophomonas,0.005689, g__Stenotrophomonas,0.005658, g__Stenotrophomonas,0.005314, g__Stenotrophomonas,0.005316667, g__Stenotrophomonas,0.005235, g__Exiguobacterium,0.004859, g__Exiguobacterium,0.004878333, g__Exiguobacterium,0.0048732, g__Staphylococcus,0.006604, g__Marinilactibacillus,0.006660333, g__Marinilactibacillus,0.0066746
 g__Staphylococcus,0.005339, g__Staphylococcus,0.005295333, g__Staphylococcus,0.0052852, g__Staphylococcus,0.005456, g__Trichococcus,0.005447, g__Staphylococcus,0.0054062, g__Serratia,0.004742, g__Serratia,0.004776, g__Serratia,0.0047594, g__Serratia,0.004772, g__Serratia,0.004628, g__Serratia,0.0047846, g__Burkholderia,0.004214, g__Burkholderia,0.004224333, g__Burkholderia,0.0042124, g__Exiguobacterium,0.004828, g__Exiguobacterium,0.00494, g__Exiguobacterium,0.004903
k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales_ f__[Chromatiaceae]_g__,0.004188,k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales_ f__[Chromatiaceae]_g__,0.004176667,k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales_ f__[Chromatiaceae]_g__,0.0041904,k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales_ f__[Chromatiaceae]_g__,0.004084,k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales_ f__[Chromatiaceae]_g__,0.004144,k__Bacteria_ Proteobacteria_ c__Gammaproteobacteria_ o__Alteromonadales_ f__[Chromatiaceae]_g__,0.004149,k__Bacteria_ Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Carnobacteriaceae_g__,0.003929, g__Bifidobacterium,0.003979, g__Bifidobacterium,0.0039626, g__Bifidobacterium,0.003914, g__Bifidobacterium,0.004000333, g__Bifidobacterium,0.0040936, g__Mycobacterium,0.004107, g__Mycobacterium,0.004138667, g__Mycobacterium,0.0041268, g__Corynebacterium,0.004036, g__Mycobacterium,0.004088333, g__Mycobacterium,0.0040232
