High_10_ASV_0.001,High_30_ASV_0.001,High_50_ASV_0.001,High_10_OTU_0.001,High_30_OTU_0.001,High_50_OTU_0.001,Medium_10_ASV_0.001,Medium_30_ASV_0.001,Medium_50_ASV_0.001,Medium_10_OTU_0.001,Medium_30_OTU_0.001,Medium_50_OTU_0.001,Low_10_ASV_0.001,Low_30_ASV_0.001,Low_50_ASV_0.001,Low_10_OTU_0.001,Low_30_OTU_0.001,Low_50_OTU_0.001
Halomonas,Halomonas,Halomonas,Halomonas,Halomonas,Halomonas,Kocuria,Kocuria,Kocuria,Erwinia,Erwinia,Erwinia,Kocuria,Kocuria,Kocuria,Carnobacterium,Carnobacterium,Carnobacterium
Micrococcus,Micrococcus,Micrococcus,Micrococcus,Micrococcus,Micrococcus,Nesterenkonia,Nesterenkonia,Nesterenkonia,Kocuria,Kocuria,Kocuria,_f___g__,_f___g__,_f___g__,Kocuria,Kocuria,Kocuria
Nesterenkonia,Rhizobiales_ f__Methylobacteriaceae_ g__,Rhizobiales_ f__Methylobacteriaceae_ g__,Nesterenkonia,Nesterenkonia,Rhizobiales_ f__Methylobacteriaceae_ g__,Erwinia,Micrococcus,Micrococcus,Nesterenkonia,Nesterenkonia,Nesterenkonia,Rhodococcus,Rhodococcus,Rhodococcus,_f___g__,_f___g__,_f___g__
Rhizobiales_ f__Methylobacteriaceae_ g__,Nesterenkonia,Nesterenkonia,Rhizobiales_ f__Methylobacteriaceae_ g__,Rhizobiales_ f__Methylobacteriaceae_ g__,Nesterenkonia,Micrococcus,Erwinia,Erwinia,Micrococcus,Micrococcus,Micrococcus,Methylobacterium,Methylobacterium,Methylobacterium,Rhodococcus,Rhodococcus,Rhodococcus
Enhydrobacter,Enhydrobacter,Enhydrobacter,Enhydrobacter,Enhydrobacter,Enhydrobacter,Paracoccus,Paracoccus,Paracoccus,Paracoccus,Paracoccus,Paracoccus,Marinilactibacillus,Marinilactibacillus,Marinilactibacillus,Paracoccus,Paracoccus,Paracoccus
Serratia,Serratia,Serratia,Serratia,Serratia,Serratia,Sphingomonas,Sphingomonas,Sphingomonas,Sphingomonas,Sphingomonas,Sphingomonas,Paracoccus,Paracoccus,Paracoccus,Methylobacterium,Methylobacterium,Methylobacterium
Trichococcus,Trichococcus,Trichococcus,Aerococcus,Aerococcus,Aerococcus,Methylobacterium,Methylobacterium,Methylobacterium,Methylobacterium,Methylobacterium,Methylobacterium,Carnobacterium,Carnobacterium,Carnobacterium,Marinilactibacillus,Staphylococcus,Staphylococcus
Aerococcus,Aerococcus,Aerococcus,Trichococcus,Staphylococcus,Trichococcus,Stenotrophomonas,Stenotrophomonas,Stenotrophomonas,Stenotrophomonas,Stenotrophomonas,Stenotrophomonas,Exiguobacterium,Exiguobacterium,Exiguobacterium,Staphylococcus,Marinilactibacillus,Marinilactibacillus
Staphylococcus,Staphylococcus,Staphylococcus,Staphylococcus,Trichococcus,Staphylococcus,Serratia,Serratia,Serratia,Serratia,Serratia,Serratia,Burkholderia,Burkholderia,Burkholderia,Exiguobacterium,Exiguobacterium,Exiguobacterium
Alteromonadales_ f__[Chromatiaceae]_g__,Alteromonadales_ f__[Chromatiaceae]_g__,Alteromonadales_ f__[Chromatiaceae]_g__,Alteromonadales_ f__[Chromatiaceae]_g__,Alteromonadales_ f__[Chromatiaceae]_g__,Alteromonadales_ f__[Chromatiaceae]_g__,Lactobacillales_ f__Carnobacteriaceae_g__,Bifidobacterium,Bifidobacterium,Bifidobacterium,Bifidobacterium,Bifidobacterium,Mycobacterium,Mycobacterium,Mycobacterium,Corynebacterium,Mycobacterium,Mycobacterium
