"","Site","Sample","Species"
"1","sample-1",1,0.999999999999968
"2","sample-1",551,41.5695708565929
"3","sample-1",1101,50.4456300863041
"4","sample-1",1651,55.4849418081839
"5","sample-1",2201,58.8421179091727
"6","sample-1",2751,61.2780130580506
"7","sample-1",3301,63.150039736989
"8","sample-1",3851,64.6499877775014
"9","sample-1",4401,65.8897012136786
"10","sample-1",4951,66.9386230922061
"11","sample-1",5501,67.8421656782695
"12","sample-1",6051,68.6313909023469
"13","sample-1",6601,69.32840263876
"14","sample-1",7151,69.9494871393403
"15","sample-1",7701,70.5070128459233
"16","sample-1",8251,71.0106196076708
"17","sample-1",8801,71.4679871541808
"18","sample-1",9351,71.8853469199625
"19","sample-1",9901,72.2678329120733
"20","sample-1",10451,72.6197289152972
"21","sample-1",11001,72.9446471951066
"22","sample-1",11551,73.2456607831851
"23","sample-1",12101,73.5254035401468
"24","sample-1",12651,73.7861473251366
"25","sample-1",13201,74.0298625379125
"26","sample-1",13751,74.2582663356926
"27","sample-1",14301,74.4728615406798
"28","sample-1",14851,74.6749683942998
"29","sample-1",15401,74.8657507292735
"30","sample-1",15951,75.0462377255222
"31","sample-1",16501,75.2173421321136
"32","sample-1",17051,75.3798756251583
"33","sample-1",17601,75.5345618291404
"34","sample-1",18151,75.6820474111036
"35","sample-1",18701,75.8229115763669
"36","sample-1",19251,75.9576742283303
"37","sample-1",19801,76.0868030063146
"38","sample-1",20351,76.210719376533
"39","sample-1",20901,76.3298039179478
"40","sample-1",21451,76.4444009246891
"41","sample-1",22001,76.5548224222465
"42","sample-1",22551,76.6613516818276
"43","sample-1",23101,76.7642463021154
"44","sample-1",23651,76.8637409183859
"45","sample-1",24201,76.9600495885778
"46","sample-1",24751,77.0533678990207
"47","sample-1",25301,77.1438748274899
"48","sample-1",25851,77.2317343930393
"49","sample-1",26401,77.3170971211746
"50","sample-1",26951,77.4001013468336
"51","sample-1",27501,77.4808743745849
"52","sample-1",28051,77.559533514527
"53","sample-1",28601,77.6361870080746
"54","sample-1",29151,77.7109348568392
"55","sample-1",29701,77.7838695655202
"56","sample-1",30251,77.8550768100812
"57","sample-1",30801,77.9246360374499
"58","sample-1",31351,77.9926210072373
"59","sample-1",31901,78.0591002789852
"60","sample-1",32451,78.1241376533602
"61","sample-1",33001,78.1877925708568
"62","sample-1",33551,78.250120473117
"63","sample-1",34101,78.3111731303783
"64","sample-1",34651,78.3709989392133
"65","sample-1",35201,78.4296431930331
"66","sample-1",35751,78.4871483281256
"67","sample-1",36301,78.54355414842
"68","sample-1",36851,78.5988980301903
"69","sample-1",37401,78.6532151087953
"70","sample-1",37951,78.7065384499907
"71","sample-1",38501,78.758899206057
"72","sample-1",39051,78.8103267595182
"73","sample-1",39601,78.8608488541526
"74","sample-1",40151,78.910491715502
"75","sample-1",40701,78.9592801620834
"76","sample-1",41251,79.0072377066393
"77","sample-1",41801,79.0543866497778
"78","sample-1",42351,79.1007481662784
"79","sample-1",42901,79.1463423844148
"80","sample-1",43451,79.1911884589461
"81","sample-1",44001,79.2353046383438
"82","sample-1",44551,79.2787083275223
"83","sample-1",45101,79.3214161446738
"84","sample-1",45651,79.363443974841
"85","sample-1",46201,79.4048070185752
"86","sample-1",46751,79.4455198373599
"87","sample-1",47301,79.4855963955211
"88","sample-1",47851,79.5250500991962
"89","sample-1",48401,79.5638938320847
"90","sample-1",48951,79.6021399885581
"91","sample-1",49501,79.6398005048947
"92","sample-1",50051,79.676886887489
"93","sample-1",50601,79.713410239384
"94","sample-1",51151,79.7493812849593
"95","sample-1",51701,79.7848103926282
"96","sample-1",52251,79.8197075958829
"97","sample-1",52801,79.854082613005
"98","sample-1",53351,79.8879448651609
"99","sample-1",53901,79.9213034935596
"100","sample-1",54451,79.9541673747027
"101","sample-1",55001,79.9865451353932
"102","sample-1",55551,80.0184451661382
"103","sample-1",56101,80.0498756334898
"104","sample-1",56651,80.0808444922616
"105","sample-1",57201,80.1113594958274
"106","sample-1",57751,80.1414282066901
"107","sample-1",58301,80.1710580056788
"108","sample-1",58851,80.200256100693
"109","sample-1",59401,80.2290295348987
"110","sample-1",59951,80.2573851943413
"111","sample-1",60501,80.2853298149306
"112","sample-1",61051,80.3128699890369
"113","sample-1",61601,80.3400121716239
"114","sample-1",62151,80.3667626859061
"115","sample-1",62701,80.393127728717
"116","sample-1",63251,80.4191133754685
"117","sample-1",63801,80.4447255847146
"118","sample-1",64351,80.4699702024722
"119","sample-1",64901,80.4948529663178
"120","sample-1",65451,80.5193795090718
"121","sample-1",66001,80.5435553622831
"122","sample-1",66551,80.56738595962
"123","sample-1",67101,80.590876639907
"124","sample-1",67651,80.6140326498975
"125","sample-1",68201,80.6368591470547
"126","sample-1",68751,80.6593612020623
"127","sample-1",69301,80.6815438012844
"128","sample-1",69851,80.703411848731
"129","sample-1",70401,80.7249701684079
"130","sample-1",70951,80.7462235061548
"131","sample-1",71501,80.7671765315273
"132","sample-1",72051,80.7878338394732
"133","sample-1",72601,80.8081999521003
"134","sample-1",73151,80.8282793201434
"135","sample-1",73701,80.8480763243908
"136","sample-1",74251,80.8675952772243
"137","sample-1",74801,80.8868404237767
"138","sample-1",75351,80.9058159432632
"139","sample-1",75901,80.9245259501692
"140","sample-1",76451,80.9429744954279
"141","sample-1",77001,80.9611655673987
"142","sample-1",77551,80.9791030929299
"143","sample-1",78101,80.9967909384321
"144","sample-1",78651,81.0142329107226
"145","sample-1",79201,81.0314327580288
"146","sample-1",79751,81.0483941707486
"147","sample-1",80301,81.0651207823992
"148","sample-1",80851,81.0816161703626
"149","sample-1",81401,81.0978838566899
"150","sample-1",81951,81.1139273089014
"151","sample-1",82501,81.1297499406686
"152","sample-1",83051,81.1453551124746
"153","sample-1",83601,81.1607461324735
"154","sample-1",84151,81.1759262570208
