"","Site","Sample","Species"
"1","sample-1",1,1.00000000000003
"2","sample-1",551,25.6843364161627
"3","sample-1",1101,30.0523514344512
"4","sample-1",1651,32.6186900075547
"5","sample-1",2201,34.3979588545121
"6","sample-1",2751,35.7214724265749
"7","sample-1",3301,36.7543882184141
"8","sample-1",3851,37.5905484022161
"9","sample-1",4401,38.2866900799252
"10","sample-1",4951,38.8788154444379
"11","sample-1",5501,39.3907988889518
"12","sample-1",6051,39.8391340556991
"13","sample-1",6601,40.2356517772009
"14","sample-1",7151,40.589130367871
"15","sample-1",7701,40.9062810590739
"16","sample-1",8251,41.1923699482129
"17","sample-1",8801,41.4516222637234
"18","sample-1",9351,41.687492612079
"19","sample-1",9901,41.9028505253644
"20","sample-1",10451,42.100111134616
"21","sample-1",11001,42.2813294462519
"22","sample-1",11551,42.4482699310092
"23","sample-1",12101,42.6024590077328
"24","sample-1",12651,42.7452254289317
"25","sample-1",13201,42.8777319384125
"26","sample-1",13751,43.0010005094649
"27","sample-1",14301,43.1159327729615
"28","sample-1",14851,43.2233267760947
"29","sample-1",15401,43.3238908926138
"30","sample-1",15951,43.4182554878688
"31","sample-1",16501,43.506982785249
"32","sample-1",17051,43.5905752743401
"33","sample-1",17601,43.6694829209394
"34","sample-1",18151,43.7441093825717
"35","sample-1",18701,43.814817390719
"36","sample-1",19251,43.8819334294196
"37","sample-1",19801,43.9457518153712
"38","sample-1",20351,44.0065382661554
"39","sample-1",20901,44.0645330284167
"40","sample-1",21451,44.1199536267125
"41","sample-1",22001,44.172997282902
"42","sample-1",22551,44.2238430506536
"43","sample-1",23101,44.2726537002754
"44","sample-1",23651,44.31957738737
"45","sample-1",24201,44.364749130937
"46","sample-1",24751,44.4082921254006
"47","sample-1",25301,44.450318906636
"48","sample-1",25851,44.49093239006
"49","sample-1",26401,44.5302267953085
"50","sample-1",26951,44.5682884722481
"51","sample-1",27501,44.6051966387365
"52","sample-1",28051,44.6410240413041
"53","sample-1",28601,44.6758375470962
"54","sample-1",29151,44.7096986755969
"55","sample-1",29701,44.7426640759906
"56","sample-1",30251,44.7747859575462
"57","sample-1",30801,44.8061124769203
"58","sample-1",31351,44.836688088232
"59","sample-1",31901,44.8665538592846
"60","sample-1",32451,44.8957477577026
"61","sample-1",33001,44.9243049105294
"62","sample-1",33551,44.9522578396723
"63","sample-1",34101,44.9796366757131
"64","sample-1",34651,45.0064693527077
"65","sample-1",35201,45.0327817854277
"66","sample-1",35751,45.0585980311877
"67","sample-1",36301,45.0839404373479
"68","sample-1",36851,45.1088297764132
"69","sample-1",37401,45.1332853694193
"70","sample-1",37951,45.1573251991103
"71","sample-1",38501,45.1809660135697
"72","sample-1",39051,45.2042234214465
"73","sample-1",39601,45.2271119792336
"74","sample-1",40151,45.2496452716971
"75","sample-1",40701,45.2718359856028
"76","sample-1",41251,45.2936959777506
"77","sample-1",41801,45.3152363376266
"78","sample-1",42351,45.3364674451377
"79","sample-1",42901,45.3573990237719
"80","sample-1",43451,45.3780401896508
"81","sample-1",44001,45.3983994969706
"82","sample-1",44551,45.4184849796734
"83","sample-1",45101,45.4383041901257
"84","sample-1",45651,45.4578642350374
"85","sample-1",46201,45.477171808119
"86","sample-1",46751,45.496233220942
"87","sample-1",47301,45.5150544308758
"88","sample-1",47851,45.5336410673528
"89","sample-1",48401,45.5519984558718
"90","sample-1",48951,45.5701316405626
"91","sample-1",49501,45.5880454045569
"92","sample-1",50051,45.6057442893454
"93","sample-1",50601,45.6232326123295
"94","sample-1",51151,45.6405144833249
"95","sample-1",51701,45.6575938195447
"96","sample-1",52251,45.6744743596972
"97","sample-1",52801,45.6911596771099
"98","sample-1",53351,45.7076531913258
"99","sample-1",53901,45.7239581796781
"100","sample-1",54451,45.7400777872137
"101","sample-1",55001,45.7560150363195
"102","sample-1",55551,45.7717728355671
"103","sample-1",56101,45.7873539875664
"104","sample-1",56651,45.8027611968282
"105","sample-1",57201,45.8179970763995
"106","sample-1",57751,45.833064154426
"107","sample-1",58301,45.8479648799731
"108","sample-1",58851,45.8627016285825
"109","sample-1",59401,45.8772767072171
"110","sample-1",59951,45.8916923589709
"111","sample-1",60501,45.9059507673275
"112","sample-1",61051,45.9200540601992
"113","sample-1",61601,45.9340043134498
"114","sample-1",62151,45.9478035543067
"115","sample-1",62701,45.9614537645743
"116","sample-1",63251,45.9749568833278
"117","sample-1",63801,45.9883148095805
"118","sample-1",64351,46.001529404767
"119","sample-1",64901,46.0146024949093
"120","sample-1",65451,46.0275358726887
"121","sample-1",66001,46.0403312993379
"122","sample-1",66551,46.052990506279
"123","sample-1",67101,46.065515196839
"124","sample-1",67651,46.0779070476189
"125","sample-1",68201,46.0901677099215
"126","sample-1",68751,46.1022988107893
