ID,Site,Object,Density
sample-1,1,Drain,Medium
sample-2,1,Drain,Medium
sample-28,2,Hose,Low
sample-30,2,Hose,Low
sample-29,2,Hose,Low
sample-56,3,Hose,Medium
sample-55,3,Hose,Low
sample-69,4,Cleaning Tools,Low
sample-450,4,Cleaning Tools,Low
sample-72,5,Door,Low
sample-75,6,Floor Object,Low
sample-77,7,Drain,Low
sample-79,8,Floor Object,Medium
sample-81,8,Floor Object,Medium
sample-4,9,Cleaning Tools,Medium
sample-5,9,Cleaning Tools,Low
sample-9,10,Door,Medium
sample-11,11,Floor Object,High
sample-428,11,Floor Object,High
sample-13,12,Conveyor,High
sample-15,12,Conveyor,Low
sample-132,146,Floor Object,High
sample-14,12,Conveyor,High
sample-431,12,Conveyor,High
sample-16,13,Wall/Ceiling,High
sample-21,14,Conveyor,High
sample-20,14,Conveyor,High
sample-22,15,Wall/Ceiling,Low
sample-24,15,Wall/Ceiling,Medium
sample-23,15,Wall/Ceiling,High
sample-432,15,Wall/Ceiling,High
sample-27,16,Cart/Rolling Bins,Medium
sample-26,16,Cart/Rolling Bins,High
sample-31,17,Non-FPE Structure,Low
sample-33,17,Non-FPE Structure,Low
sample-32,17,Non-FPE Structure,Medium
sample-34,18,Drain,High
sample-35,18,Drain,High
sample-435,18,Drain,High
sample-36,19,Non-FPE Structure,Medium
sample-38,19,Non-FPE Structure,High
sample-37,19,Non-FPE Structure,High
sample-39,20,FPE Structure,Medium
sample-41,21,Fan/Vent,High
sample-45,22,Door,Low
sample-48,23,Forklift/Pallet Jack,Low
sample-49,24,Floor Object,Low
sample-51,24,Floor Object,Low
sample-442,24,Floor Object,Medium
sample-53,25,Cleaning Tools,Low
sample-52,25,Cleaning Tools,Medium
sample-59,26,Non-FPE Structure,High
sample-58,26,Non-FPE Structure,High
sample-444,26,Non-FPE Structure,High
sample-60,27,Forklift/Pallet Jack,Medium
sample-62,27,Forklift/Pallet Jack,Medium
sample-61,27,Forklift/Pallet Jack,Medium
sample-445,27,Forklift/Pallet Jack,Low
sample-64,28,Forklift/Pallet Jack,Medium
sample-446,28,Forklift/Pallet Jack,Low
sample-66,29,Door,Low
sample-68,29,Door,Medium
sample-67,29,Door,Medium
sample-103,30,Non-FPE Structure,Low
sample-83,30,Non-FPE Structure,Medium
sample-95,31,Non-FPE Structure,Low
sample-84,31,Non-FPE Structure,Low
sample-108,32,Forklift/Pallet Jack,Medium
sample-85,32,Forklift/Pallet Jack,Medium
sample-86,33,Non-FPE Structure,High
sample-117,34,Conveyor,Medium
sample-118,34,Conveyor,Medium
sample-123,35,Door,Low
sample-88,35,Door,Medium
sample-128,36,Non-FPE Structure,Medium
sample-133,149,Floor Object,Low
sample-134,37,Non-FPE Structure,Medium
sample-90,37,Non-FPE Structure,Low
sample-139,38,Floor Object,Medium
sample-143,39,FPE Structure,High
sample-92,39,FPE Structure,Low
sample-457,40,Floor Object,Low
sample-150,40,Floor Object,High
sample-152,40,Floor Object,Medium
sample-151,40,Floor Object,Low
sample-464,41,Non-FPE Structure,Medium
sample-174,41,Non-FPE Structure,High
sample-197,42,Forklift/Pallet Jack,High
sample-219,43,Forklift/Pallet Jack,Medium
sample-221,43,Forklift/Pallet Jack,High
sample-220,43,Forklift/Pallet Jack,Medium
sample-481,44,Cleaning Tools,Medium
sample-249,150,Floor Object,High
sample-260,45,Non-FPE Structure,Low
sample-262,45,Non-FPE Structure,Low
sample-261,45,Non-FPE Structure,Medium
sample-484,46,Door,Medium
sample-263,46,Door,High
sample-485,47,Floor Object,High
sample-266,47,Floor Object,High
sample-268,47,Floor Object,High
sample-267,47,Floor Object,High
sample-270,48,Non-FPE Structure,High
sample-458,49,Wall/Ceiling,High
sample-153,49,Wall/Ceiling,High
sample-154,49,Wall/Ceiling,High
sample-459,50,Drain,High
sample-159,50,Drain,High
sample-161,50,Drain,High
sample-160,50,Drain,High
sample-460,51,Drain,Medium
sample-162,51,Drain,High
sample-164,51,Drain,High
sample-461,52,Floor Object,High
sample-167,52,Floor Object,High
sample-166,52,Floor Object,High
sample-462,53,Floor Object,Medium
sample-169,53,Floor Object,Medium
sample-170,54,Hose,Medium
sample-172,54,Hose,Medium
sample-171,54,Hose,Medium
sample-176,55,Wall/Ceiling,Low
sample-177,56,Forklift/Pallet Jack,Medium
sample-178,56,Forklift/Pallet Jack,Low
sample-181,57,Drain,Medium
sample-180,57,Drain,High
sample-184,58,Drain,Medium
sample-183,58,Drain,Low
sample-467,59,Conveyor,Medium
sample-186,59,Conveyor,High
sample-185,59,Conveyor,Medium
sample-468,60,Non-FPE Structure,Low
sample-469,61,Drain,High
sample-188,61,Drain,Medium
sample-191,62,Cleaning Tools,Low
sample-470,63,Conveyor,High
sample-193,63,Conveyor,Medium
sample-199,64,Hose,Low
sample-200,65,Door,Low
sample-201,65,Door,Low
sample-202,66,FPE Structure,Low
sample-203,66,FPE Structure,Medium
sample-472,67,Door,Medium
sample-204,67,Door,Medium
sample-206,67,Door,Low
sample-207,68,FPE Structure,High
sample-473,69,Door,Medium
sample-208,69,Door,Low
sample-209,70,FPE Structure,Low
sample-210,70,FPE Structure,Low
sample-211,71,Conveyor,Low
sample-215,72,FPE Structure,Medium
sample-214,72,FPE Structure,Low
sample-216,73,Conveyor,Low
sample-218,73,Conveyor,Low
sample-217,73,Conveyor,Low
sample-477,74,Drain,High
sample-222,74,Drain,Medium
sample-224,74,Drain,Medium
sample-223,74,Drain,High
sample-478,75,Conveyor,Low
sample-225,75,Conveyor,Low
sample-227,75,Conveyor,Low
sample-226,75,Conveyor,Low
sample-230,76,Hose,Medium
sample-229,76,Hose,Low
sample-479,77,Drain,Medium
sample-232,77,Drain,Medium
