"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"34",147,"sample-153","10","NL.10.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Wall/Ceiling","No","None","Continuous","Wet","three",950000,0,285000,5.97772360528885,5.45484486000851,0,TRUE,"High"
"56",245,"sample-251","50","NL.50.2","Facility 3",2022,"Fall","During","Warehouse","Floor Object","No","Yes","Continuous","Wet","three",1180000,150,465000,6.07188200730613,5.66745295288995,2.17609125905568,TRUE,"High"
"25",124,"sample-126","E5","WS.E5.2","Facility 1",2022,"Fall","During","Warehouse","Conveyor","No","Yes","Continuous","Dry","three",650000,16600,75000,5.81291335664286,4.8750612633917,4.22010808804005,TRUE,"High"
"16",58,"sample-58","30","B.30.4","Facility 2",2023,"Spring","During","Warehouse","Non-FPE Structure","No","Yes","Continuous","Dry","three",2.69e+08,2120000,1.04e+08,8.42975228000241,8.01703333929878,6.32633586092875,TRUE,"High"
"37",153,"sample-159","12","NL.12.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Drain","No","Yes","Continuous","Wet","three",380000,2100,110000,5.57978359661681,5.04139268515823,3.32221929473392,TRUE,"High"
"60",261,"sample-267","8","NL.08.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Dry","three",87200000,10800,4920000,7.94051648493257,6.69196510276736,4.03342375548695,TRUE,"High"
"12",37,"sample-37","22","B.22.4","Facility 2",2023,"Spring","During","Filling","Non-FPE Structure","No","None","Continuous","Wet","three",1.74e+08,4.6e+08,3.28e+08,8.2405492482826,8.51587384371168,8.66275783168157,TRUE,"High"
"85",358,"sample-364","41","WS.41.2","Facility 1",2022,"Fall","During","Filling","Cart/Rolling Bins","No","None","Continuous","Dry","three",364000,1250,2800,5.56110138364906,3.44715803134222,3.09691001300806,TRUE,"High"
"86",360,"sample-366","41","WS.41.3","Facility 1",2023,"Winter","During","Filling","Cart/Rolling Bins","No","None","Continuous","Damp","three",136000,52400,13200,5.13353890837022,4.12057393120585,4.71933128698373,TRUE,"High"
"62",264,"sample-270","9","NL.09.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Non-FPE Structure","No","Yes","Continuous","Condensate","three",416000,41200,4000,5.61909333062674,3.60205999132796,4.61489721603313,TRUE,"High"
"94",384,"sample-390","5","WS.05.2","Facility 1",2022,"Fall","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",250000,400,150,5.39794000867204,2.17609125905568,2.60205999132796,TRUE,"High"
"103",421,"sample-431","15A","B.15A.1","Facility 2",2022,"Summer","Before","Filling","Conveyor","No","Yes","Continuous","Dry","two",2e+06,770000,14000,6.30102999566398,4.14612803567824,5.88649072517248,TRUE,"High"
"104",422,"sample-432","18A","B.18A.1","Facility 2",2022,"Summer","Before","Filling","Wall/Ceiling","No","Yes","Continuous","Dry","three",2.02e+08,8e+06,1.6e+07,8.30535136944662,7.20411998265593,6.90308998699194,TRUE,"High"
"107",447,"sample-458","10","NL.10.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Wall/Ceiling","No","None","Continuous","Wet","three",1.4e+07,315000,5100000,7.14612803567824,6.70757017609794,5.4983105537896,TRUE,"High"
"35",148,"sample-154","10","NL.10.4","Facility 3",2023,"Spring","During","Post-Pasteurization ","Wall/Ceiling","No","None","Continuous","Dry","three",240000,1200,131000,5.38021124171161,5.11727129565576,3.07918124604762,TRUE,"High"
"93",374,"sample-380","46","WS.46.3","Facility 1",2023,"Winter","During","Warehouse","Drain","No","Yes","Perforated","Dry","three",1.8e+07,0,80,7.25527250510331,1.90308998699194,0,TRUE,"High"
"39",155,"sample-161","12","NL.12.3","Facility 3",2023,"Winter","During","Post-Pasteurization ","Drain","No","Yes","Continuous","Wet","three",8.74e+08,6240000,4.92e+08,8.9415114326344,8.69196510276736,6.79518458968242,TRUE,"High"
"45",168,"sample-174","2","NL.02.4","Facility 3",2023,"Spring","During","Raw","Non-FPE Structure","No","Yes","Continuous","Dry","two",98400000,69600,360000,7.99299509843134,5.55630250076729,4.84260923961056,TRUE,"High"
"114",474,"sample-485","8","NL.08.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Damp","three",2.3e+07,1.88e+08,3e+06,7.36172783601759,6.47712125471966,8.27415784926368,TRUE,"High"
"49",201,"sample-207","34","NL.34.3","Facility 3",2023,"Winter","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",120000,387000,0,5.07918124604763,0,5.58771096501891,TRUE,"High"
"40",156,"sample-162","13","NL.13.2","Facility 3",2022,"Fall","During","Post-Pasteurization ","Drain","No","None","Perforated","Wet","three",119000,350,60000,5.07554696139253,4.77815125038364,2.54406804435028,TRUE,"High"
"47",180,"sample-186","24","NL.24.3","Facility 3",2023,"Winter","During","Filling","Conveyor","No","None","Continuous","Damp","two",152000,114000,38400,5.18184358794477,4.58433122436753,5.05690485133647,TRUE,"High"
"98",399,"sample-405","8","WS.08.4","Facility 1",2023,"Spring","During","Raw","Drain","No","Yes","Perforated","Wet","three",7.78e+08,1.95e+09,8.72e+08,8.89097959698969,8.94051648493257,9.29003461136252,TRUE,"High"
"6",20,"sample-20","17","B.17.4","Facility 2",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",52800000,1480000,4680000,7.72263392253381,6.67024585307412,6.17026171539496,TRUE,"High"
"67",281,"sample-287","10","WS.10.3","Facility 1",2023,"Winter","During","Raw","Hose","No","Yes","Continuous","Damp","two",212000,800,13200,5.32633586092875,4.12057393120585,2.90308998699194,TRUE,"High"
"82",353,"sample-359","4","WS.04.4","Facility 1",2023,"Spring","During","Warehouse","Drain","No","Yes","Perforated","Dry","three",1.3e+08,880000,9600000,8.11394335230684,6.98227123303957,5.94448267215017,TRUE,"High"
"108",448,"sample-459","12","NL.12.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Drain","No","Yes","Continuous","Wet","three",5400000,200,13.3,6.73239375982297,1.12385164096709,2.30102999566398,TRUE,"High"
"3",13,"sample-13","15","B.15.2","Facility 2",2022,"Fall","During","Filling","Conveyor","No","Yes","Continuous","Dry","three",3200000,10400,230000,6.50514997831991,5.36172783601759,4.01703333929878,TRUE,"High"
"10",34,"sample-34","21","B.21.2","Facility 2",2022,"Fall","During","Filling","Drain","No","Yes","Continuous","Wet","three",1600000,530000,450,6.20411998265593,2.65321251377534,5.72427586960079,TRUE,"High"
"80",351,"sample-357","39","WS.39.3","Facility 1",2023,"Winter","During","Filling","Forklift/Pallet Jack","No","Yes","Continuous","Dry","two",2e+07,3240000,1e+06,7.30102999566398,6,6.51054501020661,TRUE,"High"
"11",35,"sample-35","21","B.21.3","Facility 2",2023,"Winter","During","Filling","Drain","No","Yes","Continuous","Wet","three",108000,109000,8400,5.03342375548695,3.92427928606188,5.03742649794062,TRUE,"High"
"73",326,"sample-332","28","WS.28.2","Facility 1",2022,"Fall","During","Post-Pasteurization ","FPE Structure","No","Yes","Continuous","Dry","two",5350000,2450,15800,6.72835378202123,4.19865708695442,3.38916608436453,TRUE,"High"
"109",450,"sample-461","14","NL.14.1","Facility 3",2022,"Summer","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Wet","three",12400000,18800,1060000,7.09342168516223,6.02530586526477,4.27415784926368,TRUE,"High"
"102",418,"sample-428","13B","B.13B.1","Facility 2",2022,"Summer","During","Post-Pasteurization ","Floor Object","No","Yes","Continuous","Dry","three",1800000,1e+05,905000,6.25527250510331,5.9566485792052,5,TRUE,"High"
"71",293,"sample-299","14","WS.14.3","Facility 1",2023,"Winter","During","Warehouse","Floor Object","No","Yes","Grille","Dry","three",308000,0,38800,5.48855071650044,4.58883172559421,0,TRUE,"High"
"8",23,"sample-23","18","B.18.4","Facility 2",2023,"Spring","During","Filling","Wall/Ceiling","No","Yes","Continuous","Dry","three",148000,9600,91200,5.17026171539496,4.95999483832842,3.98227123303957,TRUE,"High"
"112",466,"sample-477","40","NL.40.1","Facility 3",2022,"Summer","During","Filling","Drain","No","None","Continuous","Wet","three",120000,500,180000,5.07918124604763,5.25527250510331,2.69897000433602,TRUE,"High"
"89",366,"sample-372","43","WS.43.3","Facility 1",2023,"Winter","During","Filling","Forklift/Pallet Jack","No","None","Continuous","Wet","two",1e+05,20400,0,5,0,4.3096301674259,TRUE,"High"
"7",21,"sample-21","17","B.17.3","Facility 2",2023,"Winter","During","Filling","Conveyor","No","Yes","Continuous","Damp","two",9e+05,132000,13600,5.95424250943933,4.13353890837022,5.12057393120585,TRUE,"High"
"5",16,"sample-16","16","B.16.2","Facility 2",2022,"Fall","During","Filling","Wall/Ceiling","No","Yes","Continuous","Damp","three",231000,3150,27400,5.36361197989214,4.43775056282039,3.4983105537896,TRUE,"High"
"28",130,"sample-132","E6","WS.E6.3","Facility 1",2023,"Winter","During","Office/Hallway","Floor Object","No","Yes","Continuous","Dry","four",140000,2000,1200,5.14612803567824,3.07918124604762,3.30102999566398,TRUE,"High"
"110",458,"sample-469","26","NL.26.1","Facility 3",2022,"Summer","During","Filling","Drain","No","Yes","Perforated","Wet","three",2650000,1500,105000,6.42324587393681,5.02118929906994,3.17609125905568,TRUE,"High"
"27",129,"sample-131","E6","WS.E6.2","Facility 1",2022,"Fall","During","Office/Hallway","Floor Object","No","Yes","Continuous","Dry","four",4e+05,2850,695000,5.60205999132796,5.84198480459011,3.45484486000851,TRUE,"High"
"17",59,"sample-59","30","B.30.3","Facility 2",2023,"Winter","During","Warehouse","Non-FPE Structure","No","Yes","Continuous","Dry","three",47200000,240000,1400000,7.67394199863409,6.14612803567824,5.38021124171161,TRUE,"High"
