"","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","Untrimmed_reads","Trimmed_reads","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"78","sample-327","26","WS.26.4","West Seneca",2023,"Spring","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",201483,166530,80,1200,0,1.90308998699194,0,3.07918124604762,TRUE,"Low"
"72","sample-310","19","WS.19.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","Fan/Vent","No","Yes","Grille","Dry","two",142084,119605,0,0,0,0,0,0,TRUE,"Low"
"51","sample-218","39","NL.39.3","North Lawrence",2023,"Winter","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",202531,169279,600,0,0,2.77815125038364,0,0,TRUE,"Low"
"80","sample-344","33","WS.33.4","West Seneca",2023,"Spring","During","Post-Pasteurization ","Non-FPE Structure","No","None","Continuous","Condensate","two",205437,165806,1,19600,0,0,0,4.29225607135648,TRUE,"Low"
"97","sample-410","E10","WS.E10.4","West Seneca",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Dry","three",202806,168125,320,230000,0,2.50514997831991,0,5.36172783601759,TRUE,"Low"
"34","sample-176","20","NL.20.3","North Lawrence",2023,"Winter","During","Post-Pasteurization ","Wall/Ceiling","No","Yes","Continuous","Damp","three",206210,175252,120,0,0,2.07918124604762,0,0,TRUE,"Low"
"7","sample-31","20","B.20.2","Batavia",2022,"Fall","During","Filling","Non-FPE Structure","No","Yes","Continuous","Dry","three",204567,165671,130,0,600,2.11394335230684,2.77815125038364,0,TRUE,"Low"
"81","sample-352","37","WS.37.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","Non-FPE Structure","No","Yes","Continuous","Dry","two",169759,141738,0,0,150,0,2.17609125905568,0,TRUE,"Low"
"61","sample-262","6","NL.06.3","North Lawrence",2023,"Winter","During","Warehouse","Non-FPE Structure","Yes","Yes","Continuous","Dry","three",203579,170732,440,800,0,2.64345267648619,0,2.90308998699194,TRUE,"Low"
"56","sample-234","44","NL.44.2","North Lawrence",2022,"Fall","During","Filling","Non-FPE Structure","No","Yes","Grille","Dry","three",187461,153393,25,0,0,1.39794000867204,0,0,TRUE,"Low"
"24","sample-96","E10","NL.E10.2","North Lawrence",2022,"Fall","During","Warehouse","Drain","No","No","Grid","Dry","three",205157,168235,390,175000,2e+09,2.5910646070265,9.30102999566398,5.24303804868629,TRUE,"Low"
"33","sample-151","1","NL.01.4","North Lawrence",2023,"Spring","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",205154,168332,480,5600,0,2.68124123737559,0,3.7481880270062,TRUE,"Low"
"11","sample-49","28","B.28.2","Batavia",2022,"Fall","During","Warehouse","Floor Object","No","Yes","Continuous","Dry","three",205347,169113,725,1900,0,2.86033800657099,0,3.27875360095283,TRUE,"Low"
"67","sample-298","14","WS.14.4","West Seneca",2023,"Spring","During","Warehouse","Floor Object","No","Yes","Grille","Dry","three",202740,158608,80,53200,0,1.90308998699194,0,4.72591163229505,TRUE,"Low"
"103","sample-468","25","NL.25.1","North Lawrence",2022,"Summer","During","Filling","Non-FPE Structure","No","Yes","Continuous","Dry","three",159325,127604,80,3850,0,1.90308998699194,0,3.5854607295085,TRUE,"Low"
"31","sample-133","E7","B.E7.2","Batavia",2022,"Fall","During","Warehouse","Floor Object","No","Yes","Continuous","Dry","three",130585,108487,715,200,150,2.85430604180108,2.17609125905568,2.30102999566398,TRUE,"Low"
"102","sample-457","1","NL.01.1","North Lawrence",2022,"Summer","During","Raw","Floor Object","No","Yes","Continuous","Dry","three",184762,143435,600,1500,50,2.77815125038364,1.69897000433602,3.17609125905568,TRUE,"Low"
"35","sample-178","21","NL.21.4","North Lawrence",2023,"Spring","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",205365,165691,840,400,400,2.92427928606188,2.60205999132796,2.60205999132796,TRUE,"Low"
"77","sample-326","26","WS.26.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","Hose","No","Yes","Continuous","Dry","two",85777,71852,5,0,0,0.698970004336019,0,0,TRUE,"Low"
"84","sample-363","40","WS.40.3","West Seneca",2023,"Winter","During","Filling","Cart/Rolling Bins","No","None","Continuous","Dry","three",203647,170027,240,0,0,2.38021124171161,0,0,TRUE,"Low"
"58","sample-254","51","NL.51.2","North Lawrence",2022,"Fall","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",205663,173314,360,4000,0,2.55630250076729,0,3.60205999132796,TRUE,"Low"
"99","sample-445","31A","B.31A.1","Batavia",2022,"Summer","Before","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",151364,119830,675,1650,450,2.82930377283102,2.65321251377534,3.21748394421391,TRUE,"Low"
"65","sample-293","12","WS.12.3","West Seneca",2023,"Winter","During","Raw","Fan/Vent","No","Yes","Grille","Dry","two",205716,171769,880,0,0,2.94448267215017,0,0,TRUE,"Low"
"59","sample-255","51","NL.51.4","North Lawrence",2023,"Spring","During","Warehouse","Fan/Vent","No","Yes","Grille","Dry","three",205350,163830,280,8000,0,2.44715803134222,0,3.90308998699194,TRUE,"Low"
"101","sample-450","4A","B.04A.1","Batavia",2022,"Summer","Before","Raw","Cleaning Tools","No","Yes","Continuous","Dry","two",185586,148932,50,0,0,1.69897000433602,0,0,TRUE,"Low"
"105","sample-478","41","NL.41.1","North Lawrence",2022,"Summer","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",174171,137845,1000,115000,0,3,0,5.06069784035361,TRUE,"Low"
"20","sample-84","E10","B.E10.4","Batavia",2023,"Spring","During","Post-Pasteurization ","Non-FPE Structure","No","Yes","Continuous","Damp","three",203209,168781,0,0,0,0,0,0,TRUE,"Low"
"30","sample-123","E5","B.E5.2","Batavia",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Grime","three",204252,168408,575,1900,300,2.75966784468963,2.47712125471966,3.27875360095283,TRUE,"Low"
"75","sample-322","24","WS.24.3","West Seneca",2023,"Winter","During","Post-Pasteurization ","Floor Object","No","Yes","Grid","Dry","three",202248,172837,480,0,40,2.68124123737559,1.60205999132796,0,TRUE,"Low"
"13","sample-53","29","B.29.3","Batavia",2023,"Winter","During","Warehouse","Cleaning Tools","No","Yes","Spiked","Dry","three",203562,168749,240,400,400,2.38021124171161,2.60205999132796,2.60205999132796,TRUE,"Low"
"17","sample-72","5","B.05.2","Batavia",2022,"Fall","During","Raw","Door","No","Yes","Continuous","Dry","three",205406,164682,340,0,10,2.53147891704225,1,0,TRUE,"Low"
"94","sample-402","7","WS.07.2","West Seneca",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Dry","three",203280,169043,0,0,0,0,0,0,TRUE,"Low"
"98","sample-411","E11","WS.E11.4","West Seneca",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Damp","three",214313,177140,1000,0,0,3,0,0,TRUE,"Low"
"12","sample-51","28","B.28.3","Batavia",2023,"Winter","During","Warehouse","Floor Object","No","Yes","Continuous","Dry","three",203760,166551,680,0,0,2.83250891270624,0,0,TRUE,"Low"
"10","sample-48","27","B.27.3","Batavia",2023,"Winter","During","Warehouse","Forklift/Pallet Jack","No","Yes","Continuous","Dry","three",201979,166708,0,5600,34400,0,4.53655844257153,3.7481880270062,TRUE,"Low"
