"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","APC","APC_log","keep","APC_bin"
"1",1,"sample-1","1","B.01.2","Facility 2",2022,"Fall","During","Raw","Drain",67000,4.82607480270083,TRUE,"Medium"
"2",2,"sample-2","1","B.01.4","Facility 2",2023,"Spring","During","Raw","Drain",16200,4.20951501454263,TRUE,"Medium"
"3",3,"sample-3","1","B.01.3","Facility 2",2023,"Winter","During","Raw","Drain",47800,4.67942789661212,TRUE,"Medium"
"4",4,"sample-4","10","B.10.2","Facility 2",2022,"Fall","During","Raw","Cleaning Tools",1150,3.06069784035361,TRUE,"Medium"
"5",9,"sample-9","12","B.12.3","Facility 2",2023,"Winter","During","Raw","Door",2120,3.32633586092875,TRUE,"Medium"
"6",12,"sample-12","13","B.13.3","Facility 2",2023,"Winter","During","Post-Pasteurization ","Floor Object",10400,4.01703333929878,TRUE,"Medium"
"7",18,"sample-18","16","B.16.3","Facility 2",2023,"Winter","During","Filling","Wall/Ceiling",4600,3.66275783168157,TRUE,"Medium"
"8",19,"sample-19","17","B.17.2","Facility 2",2022,"Fall","During","Filling","Conveyor",76500,4.88366143515362,TRUE,"Medium"
"9",24,"sample-24","18","B.18.3","Facility 2",2023,"Winter","During","Filling","Wall/Ceiling",3160,3.4996870826184,TRUE,"Medium"
"10",27,"sample-27","19","B.19.3","Facility 2",2023,"Winter","During","Filling","Cart/Rolling Bins",42200,4.62531245096167,TRUE,"Medium"
"11",32,"sample-32","20","B.20.4","Facility 2",2023,"Spring","During","Filling","Non-FPE Structure",10800,4.03342375548695,TRUE,"Medium"
"12",36,"sample-36","22","B.22.2","Facility 2",2022,"Fall","During","Filling","Non-FPE Structure",96000,4.98227123303957,TRUE,"Medium"
"13",39,"sample-39","23","B.23.4","Facility 2",2023,"Spring","During","Filling","FPE Structure",3760,3.57518784492766,TRUE,"Medium"
"14",42,"sample-42","25","B.25.3","Facility 2",2023,"Winter","During","Warehouse","Fan/Vent",1520,3.18184358794477,TRUE,"Medium"
"15",43,"sample-43","26","B.26.2","Facility 2",2022,"Fall","During","Warehouse","Door",19500,4.29003461136252,FALSE,"Medium"
"16",44,"sample-44","26","B.26.4","Facility 2",2023,"Spring","During","Warehouse","Door",1360,3.13353890837022,FALSE,"Medium"
"17",46,"sample-46","27","B.27.2","Facility 2",2022,"Fall","During","Warehouse","Forklift/Pallet Jack",1080,3.03342375548695,TRUE,"Medium"
"18",47,"sample-47","27","B.27.4","Facility 2",2023,"Spring","During","Warehouse","Forklift/Pallet Jack",2000,3.30102999566398,TRUE,"Medium"
"19",50,"sample-50","28","B.28.4","Facility 2",2023,"Spring","During","Warehouse","Floor Object",9680,3.98587535730839,FALSE,"Medium"
"20",52,"sample-52","29","B.29.4","Facility 2",2023,"Spring","During","Warehouse","Cleaning Tools",3720,3.5705429398819,TRUE,"Medium"
"21",54,"sample-54","3","B.03.2","Facility 2",2022,"Fall","During","Raw","Hose",1160,3.06445798922692,FALSE,"Medium"
"22",56,"sample-56","3","B.03.3","Facility 2",2023,"Winter","During","Raw","Hose",4440,3.64738297011462,TRUE,"Medium"
"23",60,"sample-60","31","B.31.2","Facility 2",2022,"Fall","During","Warehouse","Forklift/Pallet Jack",5500,3.74036268949424,TRUE,"Medium"
"24",61,"sample-61","31","B.31.4","Facility 2",2023,"Spring","During","Warehouse","Forklift/Pallet Jack",9480,3.97680833733807,TRUE,"Medium"
"25",62,"sample-62","31","B.31.3","Facility 2",2023,"Winter","During","Warehouse","Forklift/Pallet Jack",1840,3.26481782300954,TRUE,"Medium"
"26",63,"sample-63","32","B.32.2","Facility 2",2022,"Fall","During","Warehouse","Forklift/Pallet Jack",8000,3.90308998699194,TRUE,"Medium"
"27",64,"sample-64","32","B.32.4","Facility 2",2023,"Spring","During","Warehouse","Forklift/Pallet Jack",4600,3.66275783168157,TRUE,"Medium"
"28",65,"sample-65","32","B.32.3","Facility 2",2023,"Winter","During","Warehouse","Forklift/Pallet Jack",2440,3.38738982633873,TRUE,"Medium"
"29",67,"sample-67","33","B.33.4","Facility 2",2023,"Spring","During","Warehouse","Door",1240,3.09342168516224,TRUE,"Medium"
"30",68,"sample-68","33","B.33.3","Facility 2",2023,"Winter","During","Warehouse","Door",1280,3.10720996964787,TRUE,"Medium"
"31",70,"sample-70","4","B.04.4","Facility 2",2023,"Spring","During","Raw","Cleaning Tools",5480,3.73878055848437,FALSE,"Medium"
"32",71,"sample-71","4","B.04.3","Facility 2",2023,"Winter","During","Raw","Cleaning Tools",3280,3.51587384371168,TRUE,"Medium"
