"","OTUID","mean_abundance","sd_abundance"
"1"," g__Acetobacter",5.75272890337265e-05,0.000961576384960449
"2"," g__Achromobacter",0.000684554830089143,0.00513439283333968
"3"," g__Acidovorax",2.05201626645862e-05,0.000263146365488555
"4"," g__Acinetobacter",0.111474643442128,0.236809208433942
"5"," g__Actinobacillus",3.69788575830051e-05,0.000305107980498221
"6"," g__Aerococcus",0.00204475548422831,0.0298696873637317
"7"," g__Aeromicrobium",0.000663934817334513,0.00547250079530963
"8"," g__Aeromonas",0.00871188252594262,0.0497472933993031
"9"," g__Agrobacterium",0.000678147188373777,0.00309447658009023
"10"," g__Akkermansia",4.21414207126722e-05,0.00030770676206663
"11"," g__Alcaligenes",3.3982335131575e-05,0.00033554866642993
"12"," g__Aliihoeflea",0.000117331813929131,0.000967319441301494
"13"," g__Alkalibacterium",0.000259082931572176,0.00194173543699714
"14"," g__Alkanindiges",8.37965249996674e-05,0.00141870111372319
"15"," g__Amaricoccus",0.000114436923602714,0.000529651071146712
"16"," g__Anoxybacillus",0.000463066872010389,0.00607290866283021
"17"," g__Aquabacterium",3.51505416842932e-06,4.59989404368195e-05
"18"," g__Arcobacter",2.75008797181934e-05,0.000306068539337609
"19"," g__Arsenicicoccus",8.75271493944125e-05,0.000697885486462157
"20"," g__Arthrobacter",0.000935587742558692,0.00766899111056865
"21"," g__Bacillus",0.00836710825770346,0.0616756602743469
"22"," g__Bacteroides",0.00018609751531199,0.00322330351682694
"23"," g__Bifidobacterium",0.00350850298650101,0.00905529368010718
"24"," g__Blastococcus",0.000184270575283581,0.00108767025782174
"25"," g__Blastomonas",0.00097395920364965,0.0122008724714873
"26"," g__Bosea",0.000140394793421915,0.00100986477561104
"27"," g__Brachybacterium",0.000992331224856298,0.00367663101913609
"28"," g__Bradyrhizobium",3.99270636340517e-05,0.000431699289845038
"29"," g__Brevibacterium",0.000879119753384557,0.00723673297199226
"30"," g__Brevundimonas",0.00116428272171036,0.00573209275708647
"31"," g__Burkholderia",0.00140567421819177,0.0141290845641399
"32"," g__Carnobacterium",0.0120501960317204,0.0727564493119617
"33"," g__Cellulosimicrobium",2.76608210836176e-05,0.000252570525648723
"34"," g__Cellvibrio",7.33483856614765e-05,0.00114651605040051
"35"," g__Chryseobacterium",0.00171720380239487,0.0122367212013932
"36"," g__Chryseomicrobium",1.50376136347663e-05,0.000200259687295727
"37"," g__Citrobacter",0.00113882141054716,0.00843272159979054
"38"," g__Cloacibacterium",0.000173114440221151,0.00218508833037475
"39"," g__Clostridium",0.000261269860175204,0.00282667487929139
"40"," g__Comamonas",0.00103514780336546,0.00719977998377243
"41"," g__Corynebacterium",0.00272578351549405,0.00918175448913551
"42"," g__Dechloromonas",8.03224101424684e-05,0.00115446281046612
"43"," g__Defluvibacter",0.000167817200719117,0.00193689988676758
"44"," g__Deinococcus",0.000512172495759191,0.00482733024705235
"45"," g__Delftia",5.61354425566801e-05,0.000665811803513775
"46"," g__Dermacoccus",5.24171382037298e-05,0.000641070212096304
"47"," g__Desemzia",0.00435324727256217,0.0365660406237301
"48"," g__Devosia",0.000138235582274976,0.00156973543472519
"49"," g__Dietzia",0.00193461446570192,0.00919764510895443
"50"," g__Dyadobacter",0.000113077007014078,0.00120800264395129
"51"," g__Dysgonomonas",0,0
"52"," g__Elizabethkingia",7.96783698415382e-05,0.00138006984829808
"53"," g__Enhydrobacter",0.00361134721387368,0.0209092202993045
"54"," g__Enterobacter",0.0012925729834011,0.00834644733828815
"55"," g__Enterococcus",0.00615665791312876,0.0280667591394859
"56"," g__Erwinia",0.00321417193014968,0.0429665211930956
"57"," g__Exiguobacterium",0.0160987748890983,0.0816525028618613
"58"," g__Facklamia",4.67933059794258e-05,0.00052868752485934
"59"," g__Faecalibacterium",7.87740076049311e-05,0.00136440583487558
"60"," g__Flavobacterium",0.000330638572028349,0.0028659031041173
"61"," g__Gluconacetobacter",0.000726784683019393,0.0115197063767884
"62"," g__Gluconobacter",3.97042300083699e-05,0.000669020528210097
"63"," g__Gordonia",3.37876596460829e-05,0.000238114471642458
"64"," g__Granulicatella",3.83173984267039e-05,0.000381280770532467
"65"," g__Hafnia",1.24605679736537e-05,0.000213298499906248
"66"," g__Halomonas",0.00422050662688362,0.0579933801364028
"67"," g__Hylemonella",4.24236809693437e-05,0.000525358392782469
"68"," g__Jeotgalicoccus",0.000274731664097792,0.00228030389755762
"69"," g__Kocuria",0.0170581437187047,0.0581210603907067
"70"," g__Kytococcus",8.07672438574926e-05,0.00103911459414375
"71"," g__Lactobacillus",0.02141921032644,0.0509046302481218
"72"," g__Lactococcus",0.104478628436618,0.242605875934027
"73"," g__Legionella",0.000874241588854876,0.0138777096929625
"74"," g__Leucobacter",2.97674608113315e-05,0.000256050248890634
"75"," g__Leuconostoc",0.000756747304237157,0.0038013608657267
"76"," g__Listeria",0.000347720215982684,0.00339607731569287
"77"," g__Luteibacter",7.41645442511201e-05,0.00124867365597275
"78"," g__Luteimonas",0.00060573573769405,0.00560549491591772
"79"," g__Lysinibacillus",4.64833306883634e-05,0.000321949040356701
"80"," g__Lysobacter",3.91755744955599e-05,0.000564669544244762
"81"," g__Macrococcus",0.0233311674376107,0.106286655423446
"82"," g__Marinilactibacillus",0.00780555237950068,0.0663622010306259
"83"," g__Marinococcus",0.000106160436984641,0.00128659669424873
"84"," g__Marmoricola",0.00011438500868826,0.00198120646672274
"85"," g__Massilia",0.000140492075968322,0.00108844612235835
"86"," g__Mesorhizobium",3.60513344047655e-06,6.24427428697098e-05
"87"," g__Methylobacterium",0.00559146144154744,0.0252759124720176
"88"," g__Methylotenera",2.66419155406234e-05,0.000321395833218902
"89"," g__Methyloversatilis",2.95854233289985e-05,0.000340906007602875
"90"," g__Microbacterium",0.000171819822164551,0.00189331887430517
"91"," g__Microbispora",0.000298325640503612,0.00281970620872526
"92"," g__Micrococcus",0.00705887610117627,0.0390566689085749
"93"," g__Mucilaginibacter",0.000213422640197041,0.00367696149384603
"94"," g__Mycobacterium",0.00306422793422347,0.0290315366985004
"95"," g__Mycoplana",0.000332099993386252,0.00397210847922542
"96"," g__Neisseria",4.56435369613667e-05,0.00071981490314698
"97"," g__Nesterenkonia",0.0105594521566164,0.0838655200121073
"98"," g__Novosphingobium",7.16531000594421e-05,0.000319523286286744
"99"," g__Ochrobactrum",0.000735242878037671,0.00572645258296294
"100"," g__Ornithinimicrobium",0.000724741935043655,0.00958834943470407
"101"," g__Paenibacillus",3.44735349278639e-05,0.00041900790423632
"102"," g__Paracoccus",0.00905742779135953,0.0332368619740914
"103"," g__Pediococcus",3.7158642713509e-05,0.000531679000906531
"104"," g__Pedobacter",0.000891479438416231,0.0147402674094712
"105"," g__Peptostreptococcus",2.69157160205871e-05,0.000456981412339115
"106"," g__Phenylobacterium",6.10280683783454e-05,0.000320026340170781
"107"," g__Pigmentiphaga",6.34245266915939e-05,0.000755147631120499
"108"," g__Piscicoccus",0.000320939850530425,0.00342976519823591
"109"," g__Planococcus",0.00910953717536064,0.063929499233498
"110"," g__Planomicrobium",0.000482079555263016,0.00380163456225653
"111"," g__Polaromonas",0.000153383876634931,0.00130576107408043
"112"," g__Prevotella",8.28597231406281e-05,0.00091828487581175
"113"," g__Propionibacterium",0.000200252917515532,0.00106299854146143
"114"," g__Proteiniclasticum",7.3339274440096e-06,6.77352499918626e-05
"115"," g__Proteus",5.1637070364327e-05,0.000894380294250234
"116"," g__Pseudochrobactrum",0.000236853707308432,0.00232407060436038
"117"," g__Pseudomonas",0.0563562630829322,0.172458132312831
"118"," g__Pseudonocardia",2.98739550443291e-05,0.000512674076853923
"119"," g__Pseudoxanthomonas",5.03456085400633e-05,0.000592345212521582
"120"," g__Psychrobacter",0.0230518925787085,0.0983641733526837
"121"," g__Rahnella",0.00126416559995752,0.0147235100882368
"122"," g__Ralstonia",9.49776172715447e-06,0.000100209452556637
"123"," g__Rheinheimera",0.000642662509354055,0.00922155093304951
"124"," g__Rhodobacter",4.75859169294951e-05,0.000677036305708448
"125"," g__Rhodococcus",0.00785966061619082,0.0623525256755773
"126"," g__Roseomonas",0.000650907606369508,0.00346582014732727
"127"," g__Rothia",0.0407148889166852,0.127776128292242
"128"," g__Rubellimicrobium",5.43864497248978e-05,0.000628658002925976
"129"," g__SMB53",1.26170029886526e-06,2.18532902155946e-05
"130"," g__Salana",0.000662236368465843,0.00919713103125496
"131"," g__Sanguibacter",0.00123595061587262,0.0204597944517511
"132"," g__Sarcina",7.72296960637768e-07,1.33765757435564e-05
"133"," g__Serinicoccus",7.06876418293322e-05,0.000883220979425187
"134"," g__Serratia",0.00362877341262526,0.0306359248246277
"135"," g__Shewanella",0.00118215140209794,0.00923372786458604
"136"," g__Skermanella",0.000867613905399909,0.00363976993448876
"137"," g__Solibacillus",3.31666049088057e-05,0.000358809220208497
"138"," g__Sphingobacterium",0.000508735161877612,0.0022020986604611
"139"," g__Sphingobium",0.000532463383467554,0.00455614053637028
"140"," g__Sphingomonas",0.00702618572915753,0.0420891426514061
"141"," g__Sphingopyxis",5.94041498367953e-05,0.000523353435382369
"142"," g__Staphylococcus",0.00396313585925639,0.019615708027479
"143"," g__Stenotrophomonas",0.0029181475833208,0.0270385267037426
"144"," g__Streptococcus",0.352890656970828,0.342745575042907
"145"," g__Streptomyces",0.000125633542263831,0.00203033294676373
"146"," g__Tepidimonas",1.0051135150076e-06,1.74090767536731e-05
"147"," g__Tetragenococcus",0.000525926072665364,0.00793084753453586
"148"," g__Thermus",0.000157671278286096,0.0012618498522365
