"","OTUID","mean_abundance","sd_abundance"
"1"," g__Acetobacter",0.000142362561112647,0.00153551841361659
"2"," g__Achromobacter",0.00065826196545018,0.0046262958050595
"3"," g__Acidovorax",7.28965051952766e-05,0.000544611537275747
"4"," g__Acinetobacter",0.111186209094333,0.235543472481244
"5"," g__Actinobacillus",3.60042816689988e-05,0.000295502067236
"6"," g__Actinomyces",2.45709218785329e-05,0.000230730898625301
"7"," g__Aerococcus",0.00211454629155661,0.0310939343468364
"8"," g__Aeromicrobium",0.000693290170171284,0.00530215131920908
"9"," g__Aeromonas",0.0084972765203303,0.0493680153957509
"10"," g__Agrobacterium",0.000735952015579931,0.00305474344618778
"11"," g__Akkermansia",4.32600619319475e-05,0.000303841290032149
"12"," g__Aliihoeflea",0.000192601723201235,0.00146355896553711
"13"," g__Alishewanella",0.000102474390938393,0.00145648298148511
"14"," g__Alkalibacterium",0.000260669184999124,0.00189597142660469
"15"," g__Alkanindiges",9.14476193644628e-05,0.00151255598926656
"16"," g__Amaricoccus",0.000164174673129472,0.000947963754409726
"17"," g__Anoxybacillus",0.000497938930860475,0.00600261045002876
"18"," g__Aquabacterium",1.28653869561459e-05,0.000158129948173175
"19"," g__Arcobacter",2.69549445113711e-05,0.000300426178925373
"20"," g__Arsenicicoccus",0.000138751188882827,0.00114814571499741
"21"," g__Arthrobacter",0.00122194133870448,0.00799133260144866
"22"," g__Bacillus",0.00815418129234494,0.0581355711227003
"23"," g__Bacteroides",0.000221107818039811,0.00265439497474383
"24"," g__Bifidobacterium",0.00348305526063071,0.00892240103859159
"25"," g__Blastococcus",0.000200184589727533,0.00103370059622975
"26"," g__Blastomonas",0.000986082664620608,0.0120455529191193
"27"," g__Bosea",0.000238806976122094,0.00163199212006145
"28"," g__Brachybacterium",0.00123950414227413,0.00404937769904697
"29"," g__Brevibacillus",1.25786323767854e-05,0.000163006105341656
"30"," g__Brevibacterium",0.000902516824900751,0.00713280515126399
"31"," g__Brevundimonas",0.00135261862821994,0.00578721256246466
"32"," g__Burkholderia",0.00129279077095248,0.0125759759901237
