,Original.ID,Sample.ID,Density,ASVOTU,Norm,Depth,Location,Season,Pielou,Shannon,Chao1,Euclidean,Aitchinson
1,13,sample-11,High,ASV,Rarefaction,ten,Facility 2,Spring,0.220603992,0.355048429,5,9340.669261,15.46395143
2,E2,sample-111,High,ASV,Rarefaction,ten,Facility 1,Fall,0.648061301,2.789298023,76.5,2940.571553,26.66630103
3,E3,sample-116,High,ASV,Rarefaction,ten,Facility 1,Fall,0.555698046,2.035834049,39,4532.59832,23.09545917
4,E4,sample-122,High,ASV,Rarefaction,ten,Facility 1,Winter,0.604260615,2.834796759,112.6,2514.248114,26.92383886
5,E5,sample-126,High,ASV,Rarefaction,ten,Facility 1,Fall,0.632522907,2.600221887,61.6,3746.117675,25.85138958
6,15,sample-13,High,ASV,Rarefaction,ten,Facility 2,Fall,0.713775346,2.990472262,69.33333333,2991.216266,28.39345118
7,E6,sample-131,High,ASV,Rarefaction,ten,Facility 1,Fall,0.004574984,0.006342274,5,9916.171352,12.08267314
8,E6,sample-132,High,ASV,Rarefaction,ten,Facility 1,Winter,0.539665896,2.428393816,91.90909091,2106.463383,22.4105088
9,E7,sample-137,High,ASV,Rarefaction,ten,Facility 1,Winter,0.589381371,2.317344782,57,3977.450853,23.89588102
10,15,sample-14,High,ASV,Rarefaction,ten,Facility 2,Spring,0.496972428,1.766909959,41,5509.62401,20.12122398
11,E9,sample-143,High,ASV,Rarefaction,ten,Facility 2,Winter,0.356819481,1.1760188,37.5,4828.859716,13.20347191
12,E9,sample-144,High,ASV,Rarefaction,ten,Facility 3,Fall,0.454558794,1.546044179,31,6082.450566,21.85186196
13,E9,sample-145,High,ASV,Rarefaction,ten,Facility 3,Winter,0.498459096,2.103251998,69,5255.322882,24.71455386
14,1,sample-150,High,ASV,Rarefaction,ten,Facility 3,Fall,0.42149179,1.168623384,16,6527.154332,18.82364039
15,10,sample-153,High,ASV,Rarefaction,ten,Facility 3,Fall,0.397835233,1.447159937,39,6586.812804,21.50943981
16,10,sample-154,High,ASV,Rarefaction,ten,Facility 3,Spring,0.65132889,2.170361063,28,4063.385019,21.51130163
17,12,sample-159,High,ASV,Rarefaction,ten,Facility 3,Fall,0.599527453,2.619603942,80.11111111,3563.602517,27.48633294
18,16,sample-16,High,ASV,Rarefaction,ten,Facility 2,Fall,0.526781819,1.841896613,33,4976.414512,22.83361794
19,12,sample-160,High,ASV,Rarefaction,ten,Facility 3,Spring,0.407270155,1.512427073,41.25,4648.505479,17.34554469
20,12,sample-161,High,ASV,Rarefaction,ten,Facility 3,Winter,0.320636314,1.205977342,46,6492.866342,16.90738048
21,13,sample-162,High,ASV,Rarefaction,ten,Facility 3,Fall,0.472832297,1.719968218,39.5,4911.699632,20.63846314
22,13,sample-164,High,ASV,Rarefaction,ten,Facility 3,Winter,0.589549332,2.318005177,54.33333333,3106.546233,23.1231027
23,14,sample-166,High,ASV,Rarefaction,ten,Facility 3,Spring,0.63843863,2.370887864,41.5,4397.948973,23.86074363
24,14,sample-167,High,ASV,Rarefaction,ten,Facility 3,Winter,0.537142648,2.056526579,46,5881.170763,23.94630565
25,2,sample-174,High,ASV,Rarefaction,ten,Facility 3,Spring,0.303454693,0.754056584,12,8429.276883,16.45365566
26,22,sample-180,High,ASV,Rarefaction,ten,Facility 3,Spring,0.332429888,0.978819519,19.5,5313.479143,14.6507387
27,24,sample-186,High,ASV,Rarefaction,ten,Facility 3,Winter,0.102888224,0.200211238,7,7463.451137,11.07694268
28,3,sample-197,High,ASV,Rarefaction,ten,Facility 3,Winter,0.527003146,1.736916396,27,5935.222335,20.63527852
29,17,sample-20,High,ASV,Rarefaction,ten,Facility 2,Spring,0.513564107,1.840366704,38,3189.175789,18.14861128
30,34,sample-207,High,ASV,Rarefaction,ten,Facility 3,Winter,0.279472864,0.50074815,6,6699.607085,11.22294905
31,17,sample-21,High,ASV,Rarefaction,ten,Facility 2,Winter,0.502171968,1.826693799,41,3694.826373,17.07168851
32,4,sample-221,High,ASV,Rarefaction,ten,Facility 3,Winter,0.433655332,1.789753831,67.14285714,5722.318051,20.46400374
33,40,sample-223,High,ASV,Rarefaction,ten,Facility 3,Spring,0.440003572,1.379628656,23,4684.475598,17.61071725
34,18,sample-23,High,ASV,Rarefaction,ten,Facility 2,Spring,0.304027042,1.06303285,33,5193.179429,17.31313418
35,46,sample-241,High,ASV,Rarefaction,ten,Facility 3,Winter,0.520164809,2.002711294,47.75,5535.767763,25.43801617
36,47,sample-243,High,ASV,Rarefaction,ten,Facility 3,Spring,0.401179846,1.274971147,24,5324.340633,19.07263903
37,5,sample-249,High,ASV,Rarefaction,ten,Facility 3,Spring,0.361648553,1.435850326,54,7220.922577,23.81257709
38,50,sample-251,High,ASV,Rarefaction,ten,Facility 3,Fall,0.572209986,1.74210614,21,4530.621323,19.05880318
39,19,sample-26,High,ASV,Rarefaction,ten,Facility 2,Spring,0.303341741,0.964036381,25,8076.683593,17.43551409
40,7,sample-263,High,ASV,Rarefaction,ten,Facility 3,Fall,0.594238136,2.392017484,57.5,3862.082448,22.99696827
41,8,sample-266,High,ASV,Rarefaction,ten,Facility 3,Fall,0.142583536,0.475117503,31,9123.079709,16.39955667
42,8,sample-267,High,ASV,Rarefaction,ten,Facility 3,Spring,0.369010929,1.267178809,31.33333333,6796.847544,18.58770974
43,8,sample-268,High,ASV,Rarefaction,ten,Facility 3,Winter,0.554890913,2.124478319,46.25,5102.073096,22.92281683
44,9,sample-270,High,ASV,Rarefaction,ten,Facility 3,Winter,0.260383959,0.766684679,19,6142.523668,15.33138201
45,E13,sample-274,High,ASV,Rarefaction,ten,Facility 3,Spring,0.573578882,1.425289977,12,6503.145047,21.01256543
46,E9,sample-283,High,ASV,Rarefaction,ten,Facility 3,Spring,0.423204796,1.610997823,45.6,6753.040595,24.21121712
47,9,sample-284,High,ASV,Rarefaction,ten,Facility 1,Fall,0.54126656,2.095351655,51,4276.812666,21.83834029
48,10,sample-286,High,ASV,Rarefaction,ten,Facility 1,Spring,0.45773037,1.296847793,17,6591.650009,16.79745206
49,10,sample-287,High,ASV,Rarefaction,ten,Facility 1,Winter,0.581673564,2.419112345,65,3982.734591,23.91159453
50,11,sample-290,High,ASV,Rarefaction,ten,Facility 1,Winter,0.616492818,2.423942262,51,4120.228414,24.81328044
51,13,sample-295,High,ASV,Rarefaction,ten,Facility 1,Spring,0.364118201,1.2260937,29,6978.548774,16.70797619
52,14,sample-299,High,ASV,Rarefaction,ten,Facility 1,Winter,0.348114183,1.120536328,25,5144.045674,15.45897235
53,20,sample-312,High,ASV,Rarefaction,ten,Facility 1,Spring,0.59396115,0.823404993,4,5135.953631,11.55342823
54,28,sample-332,High,ASV,Rarefaction,ten,Facility 1,Fall,0.61989969,1.362058835,9,5302.080162,14.35144657
55,21,sample-34,High,ASV,Rarefaction,ten,Facility 2,Fall,0.298572708,0.765823875,14,6653.260434,13.14889937
56,31,sample-340,High,ASV,Rarefaction,ten,Facility 1,Fall,0.176380919,0.438290118,12,8351.841467,11.11943442
57,35,sample-346,High,ASV,Rarefaction,ten,Facility 1,Fall,0.164566238,0.228137247,4,8919.533416,10.15570988
58,21,sample-35,High,ASV,Rarefaction,ten,Facility 2,Winter,0.347009336,1.130589916,26.75,4652.523245,13.77727392
59,36,sample-350,High,ASV,Rarefaction,ten,Facility 1,Spring,0.396910903,1.018056367,13,6648.07849,14.52110872
60,39,sample-355,High,ASV,Rarefaction,ten,Facility 1,Fall,0.565007506,2.607577732,110.1,3882.593649,27.919603
61,39,sample-357,High,ASV,Rarefaction,ten,Facility 1,Winter,0.41566601,1.512020926,39.11111111,4415.565108,16.08360063
62,4,sample-359,High,ASV,Rarefaction,ten,Facility 1,Spring,0.509207269,1.573981287,22,5242.928757,18.37988392
63,4,sample-360,High,ASV,Rarefaction,ten,Facility 1,Winter,0.492592709,1.973983111,55.33333333,5906.373197,23.74318805
64,40,sample-362,High,ASV,Rarefaction,ten,Facility 1,Spring,0.495896224,1.615677769,26,6150.392761,17.36749938
65,41,sample-364,High,ASV,Rarefaction,ten,Facility 1,Fall,0.689856192,2.890259268,67.5,2931.45147,26.79484908
66,41,sample-366,High,ASV,Rarefaction,ten,Facility 1,Winter,0.442602086,2.015555411,114,4737.86,22.1021228
67,42,sample-369,High,ASV,Rarefaction,ten,Facility 1,Winter,0.56755707,1.67113716,19.5,3623.263665,16.21650173
68,22,sample-37,High,ASV,Rarefaction,ten,Facility 2,Spring,0.474170446,1.284077371,15,5405.670004,15.25131649
69,43,sample-370,High,ASV,Rarefaction,ten,Facility 1,Fall,0.56587335,2.588707027,102.5,3507.2287,25.68556285
70,43,sample-372,High,ASV,Rarefaction,ten,Facility 1,Winter,0.311397056,1.198924629,48.5,4588.823482,14.83520409
71,45,sample-377,High,ASV,Rarefaction,ten,Facility 1,Winter,0.033715441,0.065607218,7,9698.549813,12.15688344
72,46,sample-378,High,ASV,Rarefaction,ten,Facility 1,Fall,0.258832392,0.733327387,17.5,8276.772199,18.09157019
73,46,sample-379,High,ASV,Rarefaction,ten,Facility 1,Spring,0.627402598,2.248309091,36.16666667,3717.52054,22.56487207
74,22,sample-38,High,ASV,Rarefaction,ten,Facility 2,Winter,0.429174955,1.61421289,44.5,3897.713438,19.68878464
75,46,sample-380,High,ASV,Rarefaction,ten,Facility 1,Winter,0.627360776,2.415431586,52,3976.371301,23.99628955
76,5,sample-390,High,ASV,Rarefaction,ten,Facility 1,Fall,0.426251953,1.715814018,56.375,5010.490793,21.17835202
77,5,sample-392,High,ASV,Rarefaction,ten,Facility 1,Winter,0.237544037,0.754927738,25.5,7086.814892,15.27301248
78,6,sample-401,High,ASV,Rarefaction,ten,Facility 1,Winter,0.354253756,1.419612832,56,6407.15841,20.48302129
79,8,sample-404,High,ASV,Rarefaction,ten,Facility 1,Fall,0.727381279,3.069190912,68.33333333,2623.901998,29.14441378
80,8,sample-405,High,ASV,Rarefaction,ten,Facility 1,Spring,0.576727263,2.016531234,33,4569.887525,21.32469196
81,8,sample-406,High,ASV,Rarefaction,ten,Facility 1,Winter,0.634287002,2.553228255,56.33333333,4153.540097,26.56553036
82,9,sample-408,High,ASV,Rarefaction,ten,Facility 1,Winter,0.644291077,2.520481515,50.5,3869.519963,25.6104401
83,25,sample-41,High,ASV,Rarefaction,ten,Facility 2,Spring,0.30081389,0.793865101,15.5,5622.090883,13.15779714
84,E3,sample-413,High,ASV,Rarefaction,ten,Facility 1,Spring,0.449988019,1.430086149,25,5642.00752,17.98473742
85,13B,sample-428,High,ASV,Rarefaction,ten,Facility 2,Summer,0.572921636,2.263753017,52,4393.411989,20.4542405
86,15A,sample-431,High,ASV,Rarefaction,ten,Facility 2,Summer,0.43680629,1.781094002,62.5,5467.994284,19.7799322
87,18A,sample-432,High,ASV,Rarefaction,ten,Facility 2,Summer,0.513237048,1.905942763,41,5509.394099,23.87070428
88,21A,sample-435,High,ASV,Rarefaction,ten,Facility 2,Summer,0.416083745,1.651973928,58.25,3577.997341,15.31664005
89,30A,sample-444,High,ASV,Rarefaction,ten,Facility 2,Summer,0.456232828,1.726471539,51.5,4698.045489,17.66733939
90,10,sample-458,High,ASV,Rarefaction,ten,Facility 3,Summer,0.449204646,1.748223761,49.5,5701.3687,18.47968849
91,12,sample-459,High,ASV,Rarefaction,ten,Facility 3,Summer,0.365062394,1.540383585,69.66666667,4404.72689,13.8979059
92,14,sample-461,High,ASV,Rarefaction,ten,Facility 3,Summer,0.711818497,2.992977981,67,3766.392463,28.79261457
93,26,sample-469,High,ASV,Rarefaction,ten,Facility 3,Summer,0.53619307,2.394588985,88.66666667,3665.164777,25.47977394
94,28,sample-470,High,ASV,Rarefaction,ten,Facility 3,Summer,0.567415158,2.402496213,69.6,4047.090638,19.43659062
